Higgs_mass_GeV,l1prefiring_scale,systematics_down,systematics_up
120,0.9947,0.994709,1.000000
125,0.9975,0.997455,1.000000
130,0.9953,0.992874,1.004751
140,0.9953,0.995238,1.002381
160,0.9967,0.994966,1.001678
200,0.9958,0.994098,1.003373
250,0.9947,0.992985,1.003928
300,0.9940,0.991786,1.004259
350,0.9934,0.991269,1.004830
400,0.9927,0.990497,1.005184
450,0.9926,0.990041,1.005533
500,0.9917,0.989152,1.006054
600,0.9906,0.987648,1.007059
700,0.9878,0.984349,1.009248
800,0.9886,0.985459,1.008592
